epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.7786,0.85969,1.85115,3.18748,1.12034,0,0.00333,0.96774,0.35345,0.236,0.00333,0.96774,0.35338,0.23725,0.57722,0.96034,2.99603,0.97113,0,0.00042,0.00014,0.00042,0.00014,0.00042,0.00014,0.00042,0.00014
2,13.5952,0.76745,1.60607,2.94368,1.01654,0,0.00344,1,0.54442,0.37912,0.00344,1,0.59143,0.42351,0.46047,0.83805,2.93609,0.90316,0,0.000895545,0.000298515,0.000895545,0.000298515,0.000895545,0.000298515,0.000895545,0.000298515
3,15.1532,0.63862,1.37677,2.89529,0.99979,0,0.00344,1,0.64581,0.4551,0.00344,1,0.67145,0.4981,0.40797,0.76729,2.91178,0.87799,0,0.00136634,0.000455446,0.00136634,0.000455446,0.00136634,0.000455446,0.00136634,0.000455446
4,16.7094,0.51241,0.95434,2.68753,0.95768,0,0.00344,1,0.74158,0.60568,0.00344,1,0.76653,0.5717,0.35536,0.70734,2.87213,0.84541,0,0.00183238,0.000610793,0.00183238,0.000610793,0.00183238,0.000610793,0.00183238,0.000610793
5,18.2817,0.49596,0.8238,2.56773,0.91938,0,0.00344,1,0.83841,0.74923,0.00344,1,0.86268,0.66016,0.34921,0.67618,2.8411,0.83469,0,0.00229367,0.000764556,0.00229367,0.000764556,0.00229367,0.000764556,0.00229367,0.000764556
6,19.8375,0.45957,0.71423,2.22179,0.89394,0,0.00344,1,0.91439,0.82978,0.00344,1,0.94657,0.74906,0.34891,0.65098,2.76582,0.81351,0,0.0027502,0.000916735,0.0027502,0.000916735,0.0027502,0.000916735,0.0027502,0.000916735
7,21.3417,0.46986,0.75002,1.96632,0.89283,0,0.00344,1,0.93027,0.86008,0.00333,0.96774,0.96313,0.76003,0.38139,0.65271,2.65765,0.83658,0,0.00320199,0.00106733,0.00320199,0.00106733,0.00320199,0.00106733,0.00320199,0.00106733
8,22.8419,0.46717,0.76242,1.64354,0.87428,0,0.9613,0.8015,0.92595,0.85065,1,0.83375,0.96517,0.75006,0.43906,0.65822,2.4428,0.89329,0,0.00364902,0.00121634,0.00364902,0.00121634,0.00364902,0.00121634,0.00364902,0.00121634
9,24.3257,0.45009,0.72616,1.37183,0.91037,0,0.96222,0.93548,0.92488,0.84339,0.99579,0.96774,0.96506,0.74599,0.48592,0.65379,2.05464,0.93229,0,0.0040913,0.00136377,0.0040913,0.00136377,0.0040913,0.00136377,0.0040913,0.00136377
10,25.7432,0.41328,0.66745,1.10717,0.85101,0,0.96443,0.93548,0.92152,0.83188,0.99785,0.96774,0.96506,0.7775,0.47468,0.66335,1.73032,0.9428,0,0.00452883,0.00150961,0.00452883,0.00150961,0.00452883,0.00150961,0.00452883,0.00150961
11,27.2467,0.44233,0.60709,1.07404,0.86647,0,0.96473,0.93548,0.92122,0.83816,0.99799,0.96774,0.96506,0.76158,0.47746,0.69336,1.36693,0.92654,0,0.00496161,0.00165387,0.00496161,0.00165387,0.00496161,0.00165387,0.00496161,0.00165387
12,28.6764,0.4427,0.63704,1.03171,0.8666,0,0.96475,0.93548,0.92099,0.86558,0.99802,0.96774,0.96506,0.76565,0.4402,0.69877,1.27379,0.89918,0,0.00538964,0.00179654,0.00538964,0.00179654,0.00538964,0.00179654,0.00538964,0.00179654
13,30.1328,0.43038,0.65952,1.01048,0.86927,0,0.96497,0.93548,0.91924,0.85619,0.99824,0.96774,0.96506,0.76428,0.45071,0.69542,1.26078,0.90937,0,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
14,31.543,0.42308,0.59892,0.94806,0.8618,0,0.965,0.93548,0.90628,0.84831,0.99828,0.96774,0.96506,0.77471,0.46866,0.69082,1.21682,0.9211,0,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713
15,33.0097,0.43445,0.61778,0.90157,0.86901,0,0.96498,0.93548,0.90964,0.84067,0.99825,0.96774,0.96506,0.78828,0.4679,0.69081,1.21473,0.89788,0,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
16,34.4246,0.43169,0.57498,0.90328,0.86599,0,0.96497,0.93548,0.92106,0.83858,0.99824,0.96774,0.96506,0.78509,0.47209,0.69865,1.18453,0.91433,0,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
17,35.893,0.42245,0.57631,0.9042,0.87823,0,0.9649,0.93548,0.91388,0.83291,0.99818,0.96774,0.96506,0.78368,0.47279,0.68785,1.15091,0.9136,0,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
18,37.3056,0.41177,0.60372,0.86874,0.86359,0,0.96481,0.93548,0.91293,0.80878,0.99808,0.96774,0.96506,0.77624,0.51398,0.68858,1.15322,0.91553,0,0.0054951,0.0018317,0.0054951,0.0018317,0.0054951,0.0018317,0.0054951,0.0018317
19,38.7675,0.42056,0.63067,0.87206,0.86971,0,0.9648,0.93548,0.91382,0.83334,0.99806,0.96774,0.96506,0.779,0.46549,0.66952,1.08856,0.92854,0,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
20,40.2423,0.42916,0.53169,0.81539,0.87946,0,0.96478,0.93548,0.91245,0.82384,0.99805,0.96774,0.96506,0.77642,0.44897,0.67726,1.01606,0.91536,0,0.0054357,0.0018119,0.0054357,0.0018119,0.0054357,0.0018119,0.0054357,0.0018119
21,41.7124,0.42599,0.59828,0.8144,0.8804,0,0.96489,0.93548,0.91856,0.83786,0.99816,0.96774,0.96506,0.78047,0.43845,0.68668,0.94408,0.91227,0,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
22,43.1702,0.40174,0.58059,0.75679,0.89154,0,0.96482,0.93548,0.92862,0.84485,0.99809,0.96774,0.96506,0.79227,0.41493,0.68232,0.88616,0.89187,0,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921
23,44.6637,0.40604,0.55608,0.78963,0.89441,0,0.96485,0.93548,0.91677,0.8568,0.99812,0.96774,0.96506,0.7893,0.45231,0.69501,0.84636,0.8907,0,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
24,46.0844,0.41772,0.58617,0.75032,0.87299,0,0.96486,0.93548,0.91178,0.85685,0.99817,0.96774,0.96506,0.79766,0.42535,0.68227,0.80922,0.88192,0,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723
25,47.5261,0.39914,0.58393,0.70192,0.85323,0,0.96493,0.93548,0.91577,0.86171,0.99821,0.96774,0.96506,0.79489,0.43278,0.66807,0.76395,0.88918,0,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
26,48.9486,0.38191,0.57229,0.72167,0.84099,0,0.965,0.93548,0.91477,0.87379,0.99827,0.96774,0.96506,0.77784,0.45043,0.676,0.67056,0.90702,0,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
27,50.3547,0.41243,0.5442,0.68569,0.85874,0,0.96498,0.93548,0.91385,0.85914,0.99825,0.96774,0.96506,0.78304,0.42714,0.6817,0.64095,0.89937,0,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
28,51.9811,0.39528,0.56637,0.65426,0.85388,0,0.9649,0.93548,0.91255,0.85522,0.99817,0.96774,0.96506,0.78408,0.43692,0.71853,0.63736,0.92048,0,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327
29,53.3959,0.38615,0.59992,0.65348,0.87445,0,0.96492,0.93548,0.91396,0.86489,0.99819,0.96774,0.96506,0.79233,0.43063,0.7185,0.60643,0.91653,0,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
30,54.8106,0.40681,0.64555,0.68276,0.89343,0,0.96497,0.93548,0.915,0.86125,0.99824,0.96774,0.96506,0.79566,0.42026,0.7146,0.57254,0.90774,0,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129
31,56.2179,0.36613,0.54155,0.63212,0.86718,0,0.96495,0.93548,0.92468,0.84821,0.99823,0.96774,0.96506,0.7905,0.46033,0.72765,0.58263,0.92003,0,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
32,57.6203,0.39882,0.58858,0.64074,0.86426,0,0.96497,0.93548,0.91402,0.82492,0.99824,0.96774,0.96506,0.78713,0.46632,0.7157,0.55744,0.93163,0,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931
33,59.0181,0.38291,0.51851,0.59869,0.86459,0,0.96495,0.93548,0.92036,0.83138,0.99823,0.96774,0.96506,0.78569,0.43687,0.70446,0.54129,0.91609,0,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
34,60.421,0.39164,0.55184,0.60765,0.89859,0,0.96496,0.93548,0.91171,0.84089,0.99823,0.96774,0.96506,0.78363,0.41752,0.68686,0.51356,0.91251,0,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733
35,61.8224,0.41854,0.56391,0.6194,0.8664,0,0.96494,0.93548,0.90841,0.83515,0.99822,0.96774,0.96506,0.78064,0.41066,0.68416,0.49549,0.90799,0,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
36,63.2333,0.38517,0.59374,0.57452,0.86912,0,0.965,0.93548,0.90636,0.83333,0.99827,0.96774,0.96506,0.7877,0.41438,0.68749,0.52765,0.89764,0,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
37,64.6346,0.41514,0.6049,0.59034,0.86879,0,0.96482,0.93548,0.91075,0.83486,0.99813,0.96774,0.96506,0.7797,0.42656,0.69174,0.51764,0.9129,0,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
38,66.0346,0.40675,0.60775,0.57619,0.87465,0,0.96476,0.93548,0.91231,0.85745,0.99802,0.96774,0.96506,0.77961,0.42089,0.69056,0.49392,0.92139,0,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337
39,67.438,0.4442,0.6397,0.59679,0.87903,0,0.96496,0.93548,0.91709,0.85011,0.99824,0.96774,0.96506,0.77577,0.43762,0.69486,0.48501,0.9221,0,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
40,68.8346,0.37438,0.59521,0.57711,0.85668,0,0.96505,0.93548,0.91681,0.85144,0.99837,0.96774,0.96506,0.78002,0.42757,0.70258,0.45682,0.9155,0,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139
41,70.2304,0.37682,0.56518,0.5288,0.87647,0,0.96491,0.93548,0.91711,0.85032,0.99822,0.96774,0.96506,0.78452,0.42439,0.7047,0.45708,0.91278,0,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
42,71.6372,0.38018,0.57574,0.52091,0.86871,0,0.96491,0.93548,0.91614,0.85161,0.99818,0.96774,0.96506,0.78719,0.42906,0.71598,0.4603,0.92502,0,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941
43,73.0385,0.37583,0.57447,0.53642,0.8658,0,0.96493,0.93548,0.91715,0.84442,0.9982,0.96774,0.96506,0.78636,0.42559,0.71614,0.44936,0.92425,0,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
44,74.4391,0.38742,0.53315,0.53465,0.87041,0,0.9649,0.93548,0.91716,0.86714,0.99818,0.96774,0.96506,0.7857,0.41906,0.7096,0.46617,0.92147,0,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743
45,75.8343,0.35875,0.54298,0.51431,0.85071,0,0.96496,0.93548,0.91179,0.86489,0.99828,0.96774,0.96506,0.7876,0.41868,0.69076,0.45133,0.92111,0,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
46,77.2747,0.37762,0.52441,0.5244,0.86816,0,0.9649,0.93548,0.90743,0.86843,0.99817,0.96774,0.96506,0.7842,0.42497,0.70158,0.45742,0.91402,0,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
47,78.7736,0.36748,0.54184,0.47562,0.86059,0,0.96486,0.93548,0.90974,0.85957,0.99813,0.96774,0.96507,0.78415,0.40083,0.69957,0.44559,0.90651,0,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
48,80.1892,0.37437,0.52135,0.5002,0.88012,0,0.96488,0.93548,0.90968,0.86151,0.99816,0.96774,0.96507,0.78399,0.40676,0.69373,0.4505,0.90754,0,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347
49,81.5839,0.35302,0.49306,0.48524,0.85318,0,0.96494,0.93548,0.91068,0.85449,0.99822,0.96774,0.96508,0.78283,0.40992,0.69974,0.45558,0.89694,0,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
50,82.9625,0.33862,0.48599,0.45786,0.852,0,0.96491,0.93548,0.91276,0.85716,0.99818,0.96774,0.96508,0.78375,0.39253,0.70629,0.43319,0.896,0,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149
51,84.344,0.36854,0.53747,0.46627,0.86439,0,0.96497,0.93548,0.91501,0.85643,0.99824,0.96774,0.96509,0.78065,0.40786,0.71073,0.4458,0.89864,0,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
52,85.7363,0.35019,0.47824,0.44675,0.8686,0,0.96496,0.93548,0.92116,0.863,0.99824,0.96774,0.96509,0.78709,0.40323,0.709,0.43493,0.91488,0,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951
53,87.1265,0.3612,0.5375,0.4656,0.86139,0,0.96495,0.93548,0.92349,0.86142,0.99823,0.96774,0.96509,0.79663,0.40407,0.73308,0.4292,0.92029,0,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
54,88.5213,0.3578,0.51528,0.45255,0.88622,0,0.96491,0.93548,0.92349,0.84919,0.99818,0.96774,0.96509,0.80067,0.43991,0.71937,0.44281,0.92877,0,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753
55,89.9001,0.3442,0.51,0.44234,0.84705,0,0.96492,0.93548,0.91927,0.8519,0.99819,0.96774,0.9651,0.78287,0.45074,0.72442,0.43536,0.9302,0,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
56,91.2895,0.35901,0.55275,0.45459,0.85768,0,0.96493,0.93548,0.91584,0.85523,0.99821,0.96774,0.9651,0.78266,0.42452,0.72306,0.41861,0.92729,0,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
57,92.6684,0.32308,0.45456,0.44168,0.86576,0,0.96489,0.93548,0.91164,0.8535,0.99817,0.96774,0.9651,0.79139,0.40841,0.71438,0.41449,0.92252,0,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
58,94.0433,0.37442,0.58283,0.45547,0.87998,0,0.96489,0.93548,0.91264,0.87161,0.99816,0.96774,0.96511,0.79375,0.3888,0.70655,0.40788,0.91936,0,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357
59,95.4276,0.38165,0.64018,0.43805,0.85797,0,0.96497,0.93548,0.90819,0.84452,0.99825,0.96774,0.96511,0.79355,0.40917,0.70353,0.39514,0.92061,0,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
60,96.802,0.42952,0.54345,0.48176,0.9094,0,0.96494,0.93548,0.9062,0.82512,0.99822,0.96774,0.96512,0.79179,0.44278,0.70924,0.4047,0.93088,0,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159
61,98.1758,0.34854,0.49467,0.44609,0.86418,0,0.965,0.93548,0.91153,0.84268,0.99828,0.96774,0.96512,0.79718,0.41961,0.70905,0.39285,0.9288,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
62,99.5483,0.35945,0.53608,0.45754,0.86965,0,0.96503,0.93548,0.91065,0.83202,0.9983,0.96774,0.96512,0.79196,0.42278,0.74841,0.41127,0.9328,0,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961
63,100.923,0.36759,0.533,0.44402,0.85553,0,0.96501,0.93548,0.91386,0.85481,0.99828,0.96774,0.96511,0.79022,0.39627,0.73911,0.40333,0.91971,0,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
64,102.301,0.34391,0.51412,0.41059,0.86705,0,0.96499,0.93548,0.90819,0.86244,0.99827,0.96774,0.96511,0.79724,0.3921,0.74523,0.39582,0.92254,0,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763
65,103.682,0.34737,0.53794,0.44771,0.8682,0,0.96499,0.93548,0.90951,0.84849,0.99827,0.96774,0.96511,0.78501,0.39414,0.75528,0.37726,0.91823,0,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
66,105.159,0.33219,0.49662,0.42606,0.86267,0,0.96503,0.93548,0.90718,0.85727,0.99831,0.96774,0.96511,0.78927,0.38808,0.7705,0.3715,0.92003,0,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
67,106.576,0.34456,0.56726,0.41762,0.86682,0,0.96497,0.93548,0.91052,0.84862,0.99824,0.96774,0.96511,0.78035,0.39228,0.7614,0.37822,0.91859,0,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
68,107.953,0.36638,0.54426,0.42191,0.86603,0,0.96491,0.93548,0.91685,0.85916,0.99819,0.96774,0.96511,0.7917,0.40779,0.7598,0.36414,0.91979,0,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367
69,109.338,0.32542,0.4898,0.38924,0.87154,0,0.96497,0.93548,0.91795,0.86132,0.99824,0.96774,0.9651,0.78471,0.39267,0.76264,0.37204,0.91237,0,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
70,110.715,0.33866,0.55201,0.409,0.87115,0,0.965,0.93548,0.92228,0.87273,0.99828,0.96774,0.96511,0.79773,0.40018,0.77455,0.36277,0.91105,0,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169
71,112.178,0.36436,0.49405,0.42469,0.85806,0,0.96504,0.93548,0.91918,0.87935,0.99836,0.96774,0.96511,0.79968,0.39311,0.7849,0.3699,0.90561,0,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
72,113.626,0.36359,0.51865,0.40179,0.87283,0,0.9651,0.93548,0.92118,0.87699,0.99842,0.96774,0.96511,0.79828,0.40085,0.80028,0.37077,0.9057,0,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971
73,115.004,0.33242,0.50651,0.40458,0.85141,0,0.96501,0.93548,0.91919,0.86781,0.99828,0.96774,0.96511,0.79428,0.39774,0.80562,0.3519,0.90271,0,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
